,x,y,z
708,51.15874,51.2911,-1021.0
709,51.60408,52.01628,-1021.0
710,70.7486,51.25852,-1021.5
711,50.74009,51.94497,-1021.5
712,70.01663,52.14145,-1021.0
713,71.53118,51.9399,-1022.0
714,49.90538,52.60068,-1022.0
715,51.36413,52.81261,-1021.0
716,69.43475,52.7012,-1021.0
717,68.83594,53.41842,-1021.0
718,70.66962,52.64482,-1021.5
719,50.70743,53.30792,-1021.5
720,51.88496,53.38285,-1021.0
721,69.79186,53.36842,-1021.5
722,51.53167,53.984,-1021.5
723,69.03196,54.15511,-1021.5
724,50.78878,54.60908,-1022.0
725,52.07018,54.67972,-1021.0
726,68.41027,54.71334,-1021.0
727,69.69263,54.62902,-1022.0
728,51.6715,55.27679,-1021.5
729,68.81046,55.34719,-1021.5
730,50.8791,55.85757,-1022.0
731,52.29593,55.90547,-1021.5
732,52.85681,56.33661,-1021.5
733,67.86723,56.1349,-1021.5
734,51.79947,56.54155,-1022.0
735,53.66526,56.9213,-1021.5
736,67.00844,56.78453,-1021.5
737,68.51833,56.45279,-1022.0
738,52.71555,57.22298,-1022.0
739,54.39893,57.4185,-1021.5
740,56.66445,57.902,-1021.0
741,66.04542,57.45909,-1021.5
742,67.74285,57.16744,-1022.0
743,53.64482,57.86523,-1022.0
744,55.519,58.09283,-1021.5
745,57.3937,58.27945,-1021.5
746,65.1346,58.16225,-1021.5
747,66.805,57.86201,-1022.0
748,54.55706,58.43253,-1022.0
749,56.44906,58.62626,-1022.0
750,58.36499,58.72673,-1021.5
751,60.22956,58.79412,-1021.5
752,63.97126,58.65693,-1022.0
753,65.79025,58.43066,-1022.0
754,57.40089,58.95607,-1022.0
755,59.24317,59.16119,-1022.0
756,61.15862,59.23767,-1022.0
757,62.98811,59.1515,-1022.0
758,60.22911,59.42896,-1022.0
759,62.11261,59.54565,-1022.5
760,57.51625,27.13243,-1023.0
761,59.28538,27.10974,-1023.0
762,60.99314,27.42282,-1023.0
763,54.64877,27.52511,-1023.0
764,56.48334,27.20903,-1023.0
765,58.35275,27.08654,-1023.0
766,60.17943,27.18568,-1023.0
767,61.96516,27.69212,-1023.0
768,51.93962,28.39166,-1023.0
769,53.55676,27.8012,-1023.0
770,55.56008,27.34514,-1023.0
771,63.0411,28.07869,-1023.0
772,50.94928,28.92816,-1023.0
773,52.80598,28.03922,-1023.0
774,64.09236,28.61991,-1023.0
775,50.2048,29.55791,-1023.0
776,65.10313,29.1546,-1023.0
