,x,y,z
498,-239.53125,-239.53125,-737.0
499,-239.53125,-239.53125,-738.5
500,-239.53125,-239.53125,-740.0
501,-239.53125,-239.53125,-741.5
502,-239.53125,-239.53125,-743.0
503,-239.53125,-239.53125,-744.5
504,-239.53125,-239.53125,-746.0
505,-239.53125,-239.53125,-747.5
506,-239.53125,-239.53125,-749.0
507,-239.53125,-239.53125,-750.5
508,-239.53125,-239.53125,-752.0
509,-239.53125,-239.53125,-753.5
510,-239.53125,-239.53125,-755.0
511,-239.53125,-239.53125,-756.5
512,-239.53125,-239.53125,-758.0
513,-239.53125,-239.53125,-759.5
514,-239.53125,-239.53125,-761.0
515,-239.53125,-239.53125,-762.5
516,-239.53125,-239.53125,-764.0
517,-239.53125,-239.53125,-765.5
518,-239.53125,-239.53125,-767.0
519,-239.53125,-239.53125,-768.5
520,-239.53125,-239.53125,-770.0
521,-239.53125,-239.53125,-771.5
522,-239.53125,-239.53125,-773.0
523,-239.53125,-239.53125,-774.5
524,-239.53125,-239.53125,-776.0
525,-239.53125,-239.53125,-777.5
526,-239.53125,-239.53125,-779.0
527,-239.53125,-239.53125,-780.5
528,-239.53125,-239.53125,-782.0
529,-239.53125,-239.53125,-783.5
530,-239.53125,-239.53125,-785.0
531,-239.53125,-239.53125,-786.5
532,-239.53125,-239.53125,-788.0
533,-239.53125,-239.53125,-789.5
534,-239.53125,-239.53125,-791.0
535,-239.53125,-239.53125,-792.5
536,-239.53125,-239.53125,-794.0
537,-239.53125,-239.53125,-795.5
538,-239.53125,-239.53125,-797.0
539,-239.53125,-239.53125,-798.5
540,-239.53125,-239.53125,-800.0
541,-239.53125,-239.53125,-801.5
542,-239.53125,-239.53125,-803.0
543,-239.53125,-239.53125,-804.5
544,-239.53125,-239.53125,-806.0
545,-239.53125,-239.53125,-807.5
546,-239.53125,-239.53125,-809.0
547,-239.53125,-239.53125,-810.5
548,-239.53125,-239.53125,-812.0
549,-239.53125,-239.53125,-813.5
550,-239.53125,-239.53125,-815.0
551,-239.53125,-239.53125,-816.5
552,-239.53125,-239.53125,-818.0
553,-239.53125,-239.53125,-819.5
554,-239.53125,-239.53125,-821.0
555,-239.53125,-239.53125,-822.5
556,-239.53125,-239.53125,-824.0
557,-239.53125,-239.53125,-825.5
558,-239.53125,-239.53125,-827.0
559,-239.53125,-239.53125,-828.5
560,-239.53125,-239.53125,-830.0
561,-239.53125,-239.53125,-831.5
562,-239.53125,-239.53125,-833.0
563,-239.53125,-239.53125,-834.5
564,-239.53125,-239.53125,-836.0
565,-239.53125,-239.53125,-837.5
566,-239.53125,-239.53125,-839.0
567,-239.53125,-239.53125,-840.5
568,-239.53125,-239.53125,-842.0
569,-239.53125,-239.53125,-844.0
570,-239.53125,-239.53125,-845.5
571,-239.53125,-239.53125,-847.0
572,-239.53125,-239.53125,-848.5
573,-239.53125,-239.53125,-850.0
574,-239.53125,-239.53125,-851.5
575,-239.53125,-239.53125,-853.0
576,-239.53125,-239.53125,-854.5
577,-239.53125,-239.53125,-856.0
578,-239.53125,-239.53125,-857.5
579,-239.53125,-239.53125,-859.0
580,-239.53125,-239.53125,-860.5
581,-239.53125,-239.53125,-862.0
582,-239.53125,-239.53125,-863.5
583,-239.53125,-239.53125,-865.0
584,-239.53125,-239.53125,-866.5
585,-239.53125,-239.53125,-868.0
586,-239.53125,-239.53125,-869.5
587,-239.53125,-239.53125,-871.0
588,-239.53125,-239.53125,-872.5
589,-239.53125,-239.53125,-874.0
590,-239.53125,-239.53125,-875.5
591,-239.53125,-239.53125,-877.0
592,-239.53125,-239.53125,-878.5
593,-239.53125,-239.53125,-880.0
594,-239.53125,-239.53125,-881.5
595,-239.53125,-239.53125,-883.0
596,-239.53125,-239.53125,-884.5
597,-239.53125,-239.53125,-886.0
598,-239.53125,-239.53125,-887.5
599,-239.53125,-239.53125,-889.0
600,-239.53125,-239.53125,-890.5
601,-239.53125,-239.53125,-892.0
602,-239.53125,-239.53125,-893.5
603,-239.53125,-239.53125,-895.0
604,-239.53125,-239.53125,-896.5
605,-239.53125,-239.53125,-898.0
606,-239.53125,-239.53125,-899.5
607,-239.53125,-239.53125,-901.0
608,-239.53125,-239.53125,-902.5
609,-239.53125,-239.53125,-904.0
610,-239.53125,-239.53125,-905.5
611,-239.53125,-239.53125,-907.0
612,-239.53125,-239.53125,-908.5
613,-239.53125,-239.53125,-910.0
614,-239.53125,-239.53125,-911.5
615,-239.53125,-239.53125,-913.0
616,-239.53125,-239.53125,-914.5
617,-239.53125,-239.53125,-916.0
618,-239.53125,-239.53125,-917.5
619,-239.53125,-239.53125,-919.0
620,-239.53125,-239.53125,-920.5
621,-239.53125,-239.53125,-922.0
622,-239.53125,-239.53125,-923.5
623,-239.53125,-239.53125,-925.0
624,-239.53125,-239.53125,-926.5
625,-239.53125,-239.53125,-928.0
626,-239.53125,-239.53125,-929.5
627,-239.53125,-239.53125,-931.0
628,-239.53125,-239.53125,-932.5
629,-239.53125,-239.53125,-934.0
630,-239.53125,-239.53125,-935.5
631,-239.53125,-239.53125,-937.0
632,-239.53125,-239.53125,-938.5
633,-239.53125,-239.53125,-940.0
634,-239.53125,-239.53125,-941.5
635,-239.53125,-239.53125,-943.0
636,-239.53125,-239.53125,-944.5
637,-239.53125,-239.53125,-946.0
638,-239.53125,-239.53125,-947.5
639,-239.53125,-239.53125,-949.0
640,-239.53125,-239.53125,-950.5
641,-239.53125,-239.53125,-952.0
642,-239.53125,-239.53125,-953.5
643,-239.53125,-239.53125,-955.0
644,-239.53125,-239.53125,-956.5
645,-239.53125,-239.53125,-958.0
646,-239.53125,-239.53125,-959.5
647,-239.53125,-239.53125,-961.0
648,-239.53125,-239.53125,-962.5
649,-239.53125,-239.53125,-964.0
650,-239.53125,-239.53125,-965.5
651,-239.53125,-239.53125,-967.0
652,-239.53125,-239.53125,-968.5
653,-239.53125,-239.53125,-970.0
654,-239.53125,-239.53125,-971.5
655,-239.53125,-239.53125,-973.0
656,-239.53125,-239.53125,-974.5
657,-239.53125,-239.53125,-976.0
658,-239.53125,-239.53125,-977.5
659,-239.53125,-239.53125,-979.0
660,-239.53125,-239.53125,-980.5
661,-239.53125,-239.53125,-982.0
662,-239.53125,-239.53125,-983.5
663,-239.53125,-239.53125,-985.0
664,-239.53125,-239.53125,-986.5
665,-239.53125,-239.53125,-988.0
666,-239.53125,-239.53125,-989.5
667,-239.53125,-239.53125,-991.0
668,-239.53125,-239.53125,-992.5
669,-239.53125,-239.53125,-994.0
670,-239.53125,-239.53125,-995.5
671,-239.53125,-239.53125,-997.0
672,-239.53125,-239.53125,-998.5
673,-239.53125,-239.53125,-1000.0
674,-239.53125,-239.53125,-1001.5
675,-239.53125,-239.53125,-1003.0
676,-239.53125,-239.53125,-1004.5
677,-239.53125,-239.53125,-1006.0
678,-239.53125,-239.53125,-1007.5
679,-239.53125,-239.53125,-1009.0
680,-239.53125,-239.53125,-1010.5
681,-239.53125,-239.53125,-1012.0
682,-239.53125,-239.53125,-1013.5
683,-239.53125,-239.53125,-1015.0
684,-239.53125,-239.53125,-1016.5
685,-239.53125,-239.53125,-1018.0
686,-239.53125,-239.53125,-1019.5
687,-239.53125,-239.53125,-1021.0
688,-239.53125,-239.53125,-1022.5
689,-239.53125,-239.53125,-1024.0
690,-239.53125,-239.53125,-1025.5
691,-239.53125,-239.53125,-1027.0
692,-239.53125,-239.53125,-1028.5
693,-239.53125,-239.53125,-1030.0
694,-239.53125,-239.53125,-1031.5
695,-239.53125,-239.53125,-1033.0
696,-239.53125,-239.53125,-1034.5
697,-239.53125,-239.53125,-1036.0
698,-239.53125,-239.53125,-1037.5
699,-239.53125,-239.53125,-1039.0
700,-239.53125,-239.53125,-1040.5
701,-239.53125,-239.53125,-1042.0
702,-239.53125,-239.53125,-1043.5
703,-239.53125,-239.53125,-1045.0
704,-239.53125,-239.53125,-1046.5
705,-239.53125,-239.53125,-1048.0
706,-239.53125,-239.53125,-1049.5
707,-239.53125,-239.53125,-1051.0
708,-239.53125,-239.53125,-1052.5
709,-239.53125,-239.53125,-1054.0
710,-239.53125,-239.53125,-1055.5
711,-239.53125,-239.53125,-1057.0
712,-239.53125,-239.53125,-1059.0
713,-239.53125,-239.53125,-1060.5
714,-239.53125,-239.53125,-1062.0
715,-239.53125,-239.53125,-1063.5
716,-239.53125,-239.53125,-1065.0
717,-239.53125,-239.53125,-1066.5
718,-239.53125,-239.53125,-1068.0
719,-239.53125,-239.53125,-1069.5
720,-239.53125,-239.53125,-1071.0
721,-239.53125,-239.53125,-1072.5
722,-239.53125,-239.53125,-1074.0
723,-239.53125,-239.53125,-1075.5
724,-239.53125,-239.53125,-1077.0
725,-239.53125,-239.53125,-1078.5
